ENTITY_ID,month,enrollment_cost,positive_total_annual_spend,revenue_percentage,potential_revenue_gain
le_37abtnwacsew4,2023-12,61488.56,41611707.14137936,0.0035,145640.97499482776
le_37abtnwacsew4,2024-01,31553.76,41611707.14137936,0.0035,145640.97499482776
le_37abtnwacsew4,2024-03,25558.4,41611707.14137936,0.0035,145640.97499482776
le_37abtnwacsew4,2024-02,24799.04,41611707.14137936,0.0035,145640.97499482776
le_37abtnwacsew4,2024-04,12521.6,41611707.14137936,0.0035,145640.97499482776
le_3rb0198ns9nwt,2023-12,74162.16,31753351.385421693,0.0035,111136.72984897593
le_3rb0198ns9nwt,2023-11,68681.36,31753351.385421693,0.0035,111136.72984897593
le_3rb0198ns9nwt,2024-01,74948.16,31753351.385421693,0.0035,111136.72984897593
le_3drtuhu24p3e,2024-03,2.24,28414700.750031948,0.0035,99451.45262511182
le_3drtuhu24p3e,2024-01,63.84,28414700.750031948,0.0035,99451.45262511182
le_3h97eul427pbv,2023-12,27585.6,12529316.730445147,0.0035,43852.608556558014
le_3h97eul427pbv,2024-03,21050.4,12529316.730445147,0.0035,43852.608556558014
le_29xx6lyftb4dz,2024-01,10730.72,10458477.49925363,0.0035,36604.671247387705
le_29xx6lyftb4dz,2023-12,58449.32,10458477.49925363,0.0035,36604.671247387705
le_29xx6lyftb4dz,2024-04,318.08,10458477.49925363,0.0035,36604.671247387705
le_29xx6lyftb4dz,2024-02,616.0,10458477.49925363,0.0035,36604.671247387705
le_29xx6lyftb4dz,2024-03,187.04,10458477.49925363,0.0035,36604.671247387705
le_29xx6lyftb4dz,2023-11,719.04,10458477.49925363,0.0035,36604.671247387705
le_bvv5gr9sausn,2023-12,4334.4,9749290.206453085,0.0035,34122.5157225858
le_bvv5gr9sausn,2024-01,6212.64,9749290.206453085,0.0035,34122.5157225858
le_bvv5gr9sausn,2023-11,14816.48,9749290.206453085,0.0035,34122.5157225858
le_bvv5gr9sausn,2024-03,10.08,9749290.206453085,0.0035,34122.5157225858
le_bvv5gr9sausn,2024-02,594.72,9749290.206453085,0.0035,34122.5157225858
le_bvv5gr9sausn,2024-04,4.48,9749290.206453085,0.0035,34122.5157225858
le_6ldgasxk1red,2024-03,29093.12,8313764.842370033,0.0035,29098.176948295117
le_2hagrgh10i7je,2024-04,15.68,7729110.110332966,0.0035,27051.88538616538
le_274zso3g0fx2d,2024-01,1594.88,5634905.430059433,0.0035,19722.169005208016
le_274zso3g0fx2d,2023-11,10227.84,5634905.430059433,0.0035,19722.169005208016
le_1sf7e3qztqemu,2024-03,35.84,5065302.713751793,0.0035,17728.559498131275
le_1sf7e3qztqemu,2024-04,14.56,5065302.713751793,0.0035,17728.559498131275
le_1sf7e3qztqemu,2024-01,15170.4,5065302.713751793,0.0035,17728.559498131275
le_1sf7e3qztqemu,2024-02,2.24,5065302.713751793,0.0035,17728.559498131275
le_1o81uobt5tsah,2024-04,6627.04,5030956.076400757,0.0035,17608.34626740265
le_1o81uobt5tsah,2024-02,2787.68,5030956.076400757,0.0035,17608.34626740265
le_12c8rp10g754q,2024-03,82.88,4831934.175342143,0.0035,16911.7696136975
le_12c8rp10g754q,2024-04,17.92,4831934.175342143,0.0035,16911.7696136975
le_12c8rp10g754q,2023-11,22846.88,4831934.175342143,0.0035,16911.7696136975
le_12c8rp10g754q,2024-01,388.64,4831934.175342143,0.0035,16911.7696136975
