CARD_ID,total_spend,total_transaction_count,average_transaction_size
c_10025h814oznb,-9944.150009155273,55,-180.80272743918678
c_1003sm1i5hghf,-10600.0,2,-5300.0
c_1004675ebrlzu,-257.9100036621094,1,-257.9100036621094
c_10080dkm94z3p,-279.6000061035156,1,-279.6000061035156
c_1009uv4546k95,-3535.7099609375,6,-589.2849934895834
c_100h5vj0tqzro,-2769.1000061035156,5,-553.8200012207031
c_100iyptaj5h1o,-530.0,1,-530.0
c_100kfglvfwcef,-1300.0,2,-650.0
c_100plzqeikmv,-11272.0,33,-341.57575757575756
c_100wzftf2ccif,-15.0,3,-5.0
c_100y7dq584eou,-4681.8699951171875,5,-936.3739990234375
c_10106l0uwxlv8,-670.0,1,-670.0
c_1012zlnaxiy4r,-7516.510009765625,8,-939.5637512207031
c_1016newo5pbt9,-10.0,2,-5.0
c_101b694qjyxe3,-100.0,1,-100.0
c_101cphy7cxcg8,-392.3400115966797,2,-196.17000579833984
c_101din4exqub3,-1005.0,3,-335.0
c_101eu38k7t3y4,-2506.1600036621094,7,-358.0228576660156
c_101f4g0v3mdtm,-383.1000061035156,1,-383.1000061035156
c_101ljnin2ig6j,-592.1400001049042,25,-23.685600004196168
c_101nycqzaw4aq,-1250.0,4,-312.5
c_101t4clbez0dd,-488.9599914550781,1,-488.9599914550781
c_101tirv9z68pv,-824.9199829101562,1,-824.9199829101562
c_101wmrus334uq,-270.20001220703125,1,-270.20001220703125
c_10202eofio7td,-935.0,2,-467.5
c_1021sqp438x40,-20.600000381469727,2,-10.300000190734863
c_1026pf1uqxgmw,-922.2000122070312,1,-922.2000122070312
c_1027ptsotfmjx,-504.5299987792969,3,-168.17666625976562
c_1028480penllz,-470.1000061035156,2,-235.0500030517578
c_1029cuwicfdvf,-100.0,1,-100.0
c_102gj08bjgr95,-129.5,1,-129.5
c_102lflxxgaa5s,-468.6199951171875,2,-234.30999755859375
c_102mglh0iunf3,-1945.5,1,-1945.5
c_102ol3qgcrip9,-794.2300109863281,4,-198.55750274658203
c_1038e2d08vkxc,-288.0,1,-288.0
c_103ck381qqv7j,-3877.459936141968,40,-96.9364984035492
c_103i5gw21f6vd,-784.540009021759,4,-196.13500225543976
c_103i8ppyo3pdc,-420.0,21,-20.0
c_103kou6ch8kch,-151.64999389648438,1,-151.64999389648438
c_103lf0kbsrf52,-1396.5,2,-698.25
c_103mq5qi6x9qa,-509.15000915527344,2,-254.57500457763672
c_103n312480gso,-433.67999267578125,1,-433.67999267578125
c_103ngr3psxp01,-9091.369934082031,10,-909.1369934082031
c_103oetbz3hvx,-561.8099975585938,1,-561.8099975585938
c_103p6qolvyhvb,-7698.559970855713,41,-187.7697553867247
c_103sfvl1bd0bf,-159.60000610351562,1,-159.60000610351562
c_103vqyj8zcv72,-566.0399932861328,3,-188.67999776204428
c_103whocpgyc8d,-179.5,1,-179.5
c_1045xhw4mojct,-3202.0799560546875,4,-800.5199890136719
c_1046gdn5sz2di,-402.0,1,-402.0
c_104g73rvfvxlt,-215.9199981689453,1,-215.9199981689453
c_104j6gjeclzb2,-11403.070007324219,28,-407.25250026157926
c_104kzlaygomvb,-40.0,8,-5.0
c_104m2yngg5v9e,-27.059999465942383,1,-27.059999465942383
c_104om401ih5b7,-526.1800079345703,2,-263.09000396728516
c_104psq6qje3ee,-75000.0,5,-15000.0
c_104xl9y0nwuvy,-190.99000549316406,1,-190.99000549316406
c_104ya56km2lu1,-78.45999908447266,1,-78.45999908447266
c_1050ezb17o600,-2550.0,1,-2550.0
c_1050swf47xo5z,-3668.5999603271484,9,-407.6222178141276
c_1051p2xrnj17t,-1257.4499816894531,2,-628.7249908447266
c_1052eumq8g7io,-9935.259939193726,55,-180.64108980352228
c_1054lc43ntpty,-604.7000122070312,1,-604.7000122070312
c_1056u6c3otmj3,-3121.600051879883,11,-283.7818228981712
c_1058de7ofqr3k,-136.25,1,-136.25
c_105btb2w7fpix,-350.20001220703125,1,-350.20001220703125
c_105c1vr3edild,-5390.0,1,-5390.0
c_105dq20impb1,-76.86000061035156,1,-76.86000061035156
c_105p9mb0sdtow,-569.8999938964844,2,-284.9499969482422
c_105q20jt5ufnx,-604.3200073242188,2,-302.1600036621094
c_105z29jtu51uw,-813.0700073242188,1,-813.0700073242188
c_105z5zqd96ty7,-25.0,5,-5.0
c_10610yvzug26x,-241.5,1,-241.5
c_1063aptrnk214,-2030.6000213623047,3,-676.8666737874349
c_1065nimimknpa,-7551.489952087402,29,-260.3962052443932
c_10666k94nh0gj,-269.95001220703125,1,-269.95001220703125
c_1066eovqhbnh7,-80.0,1,-80.0
c_106a72crp85wp,-1399.949951171875,1,-1399.949951171875
c_106afdwo9uz3d,-136.39999389648438,1,-136.39999389648438
c_106ayxs0qy386,-730.3000259399414,2,-365.1500129699707
c_106bwa1jehr5z,-1710.0499629974365,7,-244.29285185677665
c_106c3fisfeqie,-292.13999938964844,2,-146.06999969482422
c_106echljyy1gv,-600.0,1,-600.0
c_106gaixpbtlpq,-10533.549903869629,38,-277.1986816807797
c_106itwip2ql08,-48.90999984741211,1,-48.90999984741211
c_106jj9fci245g,-14109.749940872192,75,-188.12999921162924
c_106man9ws8uf4,-1482.1099853515625,2,-741.0549926757812
c_106n5bwu91i46,-1689.1000213623047,6,-281.5166702270508
c_106or28b0de1i,-402.0,1,-402.0
c_106quo790t81e,-829.52001953125,2,-414.760009765625
c_106vdmrxfhqd3,-833.3999938964844,3,-277.7999979654948
c_106zxkd2uae9i,-100.0,1,-100.0
c_1071gglhc9csu,-3780.0299682617188,4,-945.0074920654297
c_1071x3bmx9f23,-867.0,61,-14.21311475409836
c_10739rpqb5peb,-2082.280029296875,2,-1041.1400146484375
c_1073b7ghpq030,-1504.050048828125,1,-1504.050048828125
c_10746d884avee,-201.0,1,-201.0
c_1074vtwcdctx,-6996.959899902344,5,-1399.3919799804687
c_10761vutul1d8,-129.24000549316406,1,-129.24000549316406
c_107bvabfq46za,-13646.759990692139,65,-209.950153702956
c_107c1hcn8e9hi,-761.9600067138672,3,-253.9866689046224
c_107h8if79hxr5,-219.89999389648438,1,-219.89999389648438
c_107hmar6p4wax,-712.5999755859375,1,-712.5999755859375
c_107o5jbca7wf8,-16982.550003051758,7,-2426.078571864537
c_107oqb8zk2e68,-992.3999938964844,9,-110.26666598849826
c_107ph5qp1qwq5,-20.0,4,-5.0
